,precision,recall,f1-score,support
No,0.9913063909774437,0.9990528060620412,0.9951645241184102,4223.0
Yes,0.0,0.0,0.0,37.0
accuracy,0.9903755868544601,0.9903755868544601,0.9903755868544601,0.9903755868544601
macro avg,0.49565319548872183,0.4995264030310206,0.4975822620592051,4260.0
weighted avg,0.9826964528398461,0.9903755868544601,0.9865210763737198,4260.0
